customerID;gender;SeniorCitizen;Partner;Dependents;PaperlessBilling;PaymentMethod;contractID;Contract;MonthlyCharges;StartDate;EndDate;churn
0002-ORFBO;Female;0;Yes;Yes;Yes;Mailed check;DuVH7U4hBh;One year;65.6;2019-04-01;;0
0003-MKNFE;Male;0;No;No;No;Mailed check;H6KQnE4KGy;Month-to-month;59.9;2019-04-01;;0
0004-TLHLJ;Male;0;No;No;Yes;Electronic check;i78bTMnP9s;Month-to-month;73.9;2019-10-01;2020-02-01;1
0011-IGKFF;Male;1;Yes;No;Yes;Electronic check;9Y8aBZ4ahv;Month-to-month;98.0;2019-06-01;2020-07-01;1
0013-EXCHZ;Female;1;Yes;No;Yes;Mailed check;534hYh95Dk;Month-to-month;83.9;2020-07-01;2020-10-01;1
0013-MHZWF;Female;0;No;Yes;Yes;Credit card (automatic);3jHL7ebbC3;Month-to-month;69.4;2019-04-01;;0
0013-SMEOE;Female;1;Yes;No;Yes;Bank transfer (automatic);DZTJJfqvpw;Two year;109.7;2014-02-01;;0
0014-BMAQU;Male;0;Yes;No;Yes;Credit card (automatic);8biz7VsLzc;Two year;84.65;2014-10-01;;0
0015-UOCOJ;Female;1;No;No;Yes;Electronic check;5KBV7Cprob;Month-to-month;48.2;2019-06-01;;0
0016-QLJIS;Female;0;Yes;Yes;Yes;Mailed check;G8eyDhFmhi;Two year;90.45;2014-08-01;;0
0017-DINOC;Male;0;No;No;No;Credit card (automatic);Dcn7X8pFLw;Two year;45.2;2015-07-01;;0
0017-IUDMW;Female;0;Yes;Yes;Yes;Credit card (automatic);BrSf7rykhQ;Two year;116.8;2014-01-01;;0
0018-NYROU;Female;0;Yes;No;Yes;Electronic check;FPiCu3b5X3;Month-to-month;68.95;2019-08-01;;0
0019-EFAEP;Female;0;No;No;Yes;Bank transfer (automatic);B5cjZrPm79;Two year;101.3;2014-01-01;;0
0019-GFNTW;Female;0;No;No;No;Bank transfer (automatic);DtE5ggGGu6;Two year;45.05;2015-05-01;;0
0020-INWCK;Female;0;Yes;Yes;Yes;Credit card (automatic);ACjz88sasX;Two year;95.75;2014-02-01;;0
0020-JDNXP;Female;0;Yes;Yes;No;Mailed check;5qdZmuKD7F;One year;61.25;2017-03-01;;0
0021-IKXGC;Female;1;No;No;Yes;Electronic check;JPyFJUjNxi;Month-to-month;72.1;2019-12-01;;0
0022-TCJCI;Male;1;No;No;No;Credit card (automatic);GHuBSVvsuk;One year;62.7;2017-03-01;2020-12-01;1
0023-HGHWL;Male;1;No;No;Yes;Electronic check;3HLqe2eg7u;Month-to-month;25.1;2020-07-01;2020-08-01;1
0023-UYUPN;Female;1;Yes;No;No;Electronic check;EDynJKcLq9;One year;25.2;2015-11-01;;0
0023-XUOPT;Female;0;Yes;No;No;Electronic check;4hsZGFgD3s;Month-to-month;94.1;2019-08-01;2020-09-01;1
0027-KWYKW;Female;0;Yes;Yes;Yes;Electronic check;Ejj4q9KHWL;Month-to-month;83.75;2018-02-01;;0
0030-FNXPP;Female;0;No;No;No;Mailed check;JcjaMtfWPD;Month-to-month;19.85;2019-10-01;;0
0031-PVLZI;Female;0;Yes;Yes;No;Mailed check;5r4pq7R9v7;Month-to-month;20.35;2020-04-01;2020-08-01;1
0032-PGELS;Female;0;Yes;Yes;No;Bank transfer (automatic);K2FptDXmDj;Month-to-month;30.5;2020-04-01;2020-05-01;1
0036-IHMOT;Female;0;Yes;Yes;Yes;Bank transfer (automatic);JTkfmGARSs;One year;103.7;2015-06-01;;0
0040-HALCW;Male;0;Yes;Yes;No;Credit card (automatic);8VydMQKriW;Two year;20.4;2015-07-01;;0
0042-JVWOJ;Male;0;No;No;Yes;Bank transfer (automatic);A7dQHrzASw;One year;19.6;2017-11-01;;0
0042-RLHYP;Female;0;Yes;Yes;No;Bank transfer (automatic);CAg6c6q6ye;Two year;19.7;2014-04-01;;0
0048-LUMLS;Male;0;Yes;Yes;No;Credit card (automatic);Gkb8FHfWxA;One year;91.2;2016-12-01;;0
0048-PIHNL;Female;0;Yes;No;No;Bank transfer (automatic);7ib4fKVALc;One year;20.45;2015-12-01;;0
0052-DCKON;Male;0;Yes;No;No;Bank transfer (automatic);FJ3nB7Xt7K;One year;115.8;2014-07-01;;0
0052-YNYOT;Female;0;No;No;No;Electronic check;3eRrLvmFb2;One year;20.55;2014-06-01;;0
0056-EPFBG;Male;0;Yes;Yes;Yes;Credit card (automatic);CAxtkmhksV;Two year;39.4;2018-05-01;;0
0057-QBUQH;Female;0;No;Yes;Yes;Electronic check;84iPreNUCt;Two year;25.1;2016-06-01;;0
0058-EVZWM;Female;0;Yes;No;Yes;Bank transfer (automatic);JLbcjRPWWw;Month-to-month;89.8;2015-06-01;;0
0060-FUALY;Female;0;Yes;No;Yes;Electronic check;8nibtzB34R;Month-to-month;94.75;2015-02-01;;0
0064-SUDOG;Female;0;Yes;Yes;No;Bank transfer (automatic);ChHUZKKLZt;Two year;20.3;2019-01-01;;0
0064-YIJGF;Male;0;Yes;Yes;Yes;Bank transfer (automatic);DPZWMgkpbx;Month-to-month;75.75;2017-10-01;;0
0067-DKWBL;Male;1;No;No;Yes;Electronic check;6m2zZmMFGy;Month-to-month;49.25;2020-08-01;2020-10-01;1
0068-FIGTF;Female;0;No;No;No;Mailed check;3JEuRQkLBP;One year;78.2;2017-10-01;;0
0071-NDAFP;Male;0;Yes;Yes;No;Credit card (automatic);KfH3TgF2u2;Two year;25.5;2017-12-01;;0
0074-HDKDG;Male;0;Yes;Yes;Yes;Bank transfer (automatic);F5Arg2BDA7;One year;61.6;2017-12-01;;0
0076-LVEPS;Male;0;No;Yes;Yes;Mailed check;J8qgKbLGpJ;Month-to-month;45.0;2017-08-01;;0
