customerID;gender;SeniorCitizen;Partner;Dependents;PaperlessBilling;PaymentMethod;Contract;MonthlyCharges;churn;Tenure;DeviceProtection;InternetService;MultipleLines;OnlineBackup;OnlineSecurity;PhoneService;StreamingMovies;StreamingTV;TechSupport;MeanMonthlyCharge;MeanMonthlyUsage
0002-ORFBO;Female;0;Yes;Yes;Yes;Mailed check;One year;65.6;0;9.035093123062076;No;DSL;No;Yes;No;Yes;No;Yes;Yes;73.87777777777777;1473.4573333333333
0003-MKNFE;Male;0;No;No;No;Mailed check;Month-to-month;59.9;0;9.035093123062076;No;DSL;Yes;No;No;Yes;Yes;No;No;60.8111111111111;1117.293111111111
0004-TLHLJ;Male;0;No;No;Yes;Electronic check;Month-to-month;73.9;1;4.041150742315037;Yes;Fiber optic;No;No;No;Yes;No;No;No;86.69999999999999;331.30050000000006
0011-IGKFF;Male;1;Yes;No;Yes;Electronic check;Month-to-month;98.0;1;13.010534097209389;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;No;99.71538461538461;1686.058153846154
0013-EXCHZ;Female;1;Yes;No;Yes;Mailed check;Month-to-month;83.9;1;3.0226493357153124;No;Fiber optic;No;No;No;Yes;No;Yes;Yes;83.9;1272.5266666666669
0013-MHZWF;Female;0;No;Yes;Yes;Credit card (automatic);Month-to-month;69.4;0;9.035093123062076;No;DSL;No;No;No;Yes;Yes;Yes;Yes;72.47777777777777;1219.1885555555555
0013-SMEOE;Female;1;Yes;No;Yes;Bank transfer (automatic);Two year;109.7;0;70.96654962114212;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes;114.73285714285709;402.72857142857146
0014-BMAQU;Male;0;Yes;No;Yes;Credit card (automatic);Two year;84.65;0;63.01566767284749;No;Fiber optic;Yes;No;Yes;Yes;No;No;Yes;87.9722222222222;4241.353888888887
0015-UOCOJ;Female;1;No;No;Yes;Electronic check;Month-to-month;48.2;0;7.030945193946487;No;DSL;No;No;Yes;Yes;No;No;No;50.857142857142854;2648.4984285714286
0016-QLJIS;Female;0;Yes;Yes;Yes;Mailed check;Two year;90.45;0;65.01981560196307;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;93.98230769230763;807.9222307692309
0017-DINOC;Male;0;No;No;No;Credit card (automatic);Two year;45.2;0;54.04628431795314;No;DSL;No phone service;No;Yes;No;No;Yes;Yes;46.8962962962963;962.5174444444445
0017-IUDMW;Female;0;Yes;Yes;Yes;Credit card (automatic);Two year;116.8;0;71.98505102774185;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;120.75352112676062;4232.543464788731
0018-NYROU;Female;0;Yes;No;Yes;Electronic check;Month-to-month;68.95;0;5.0267972648309;No;Fiber optic;No;No;No;Yes;No;No;No;68.95;3576.239
0019-EFAEP;Female;0;No;No;Yes;Bank transfer (automatic);Two year;101.3;0;71.98505102774185;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;No;105.32394366197194;93.11221126760563
0019-GFNTW;Female;0;No;No;No;Bank transfer (automatic);Two year;45.05;0;56.05043224706873;Yes;DSL;No phone service;Yes;Yes;No;No;No;Yes;46.810714285714305;4706.991035714287
0020-INWCK;Female;0;Yes;Yes;Yes;Credit card (automatic);Two year;95.75;0;70.96654962114212;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;No;99.67285714285714;2481.801285714286
0020-JDNXP;Female;0;Yes;Yes;No;Mailed check;One year;61.25;0;34.037659910881125;Yes;DSL;No phone service;No;Yes;No;Yes;Yes;Yes;63.582352941176474;5.412588235294117
0021-IKXGC;Female;1;No;No;Yes;Electronic check;Month-to-month;72.1;0;1.0185014065997249;No;Fiber optic;Yes;No;No;Yes;No;No;No;72.1;1696.97
0022-TCJCI;Male;1;No;No;No;Credit card (automatic);One year;62.7;1;45.04404607897493;Yes;DSL;No;No;Yes;Yes;Yes;No;No;64.83555555555553;5219.388777777778
0023-HGHWL;Male;1;No;No;Yes;Electronic check;Month-to-month;25.1;1;1.0185014065997249;No;DSL;No phone service;No;No;No;No;No;No;25.1;2862.446
0023-UYUPN;Female;1;Yes;No;No;Electronic check;One year;25.2;0;50.005133575638105;No internet service;No;Yes;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;25.866000000000014;418.99340000000007
0023-XUOPT;Female;0;Yes;No;No;Electronic check;Month-to-month;94.1;1;13.04338898129325;Yes;Fiber optic;Yes;Yes;No;Yes;No;Yes;No;100.29230769230769;1769.1453076923076
0027-KWYKW;Female;0;Yes;Yes;Yes;Electronic check;Month-to-month;83.75;0;22.965563974619602;No;Fiber optic;Yes;No;No;Yes;No;Yes;No;85.75909090909092;235.29909090909086
0030-FNXPP;Female;0;No;No;No;Mailed check;Month-to-month;19.85;0;3.0226493357153124;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.416666666666668;3046.377
0031-PVLZI;Female;0;Yes;Yes;No;Mailed check;Month-to-month;20.35;1;4.008295858231175;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;22.200000000000003;4553.4835
0036-IHMOT;Female;0;Yes;Yes;Yes;Bank transfer (automatic);One year;103.7;0;55.031930840469;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;Yes;107.67272727272723;2430.5055454545454
0040-HALCW;Male;0;Yes;Yes;No;Credit card (automatic);Two year;20.4;0;54.04628431795314;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;21.33333333333333;5185.492814814813
0042-JVWOJ;Male;0;No;No;Yes;Bank transfer (automatic);One year;19.6;0;25.988213310334913;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.756000000000004;2530.9939999999997
0042-RLHYP;Female;0;Yes;Yes;No;Bank transfer (automatic);Two year;19.7;0;69.02811146019425;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.72463768115944;2109.1367391304357
0048-LUMLS;Male;0;Yes;Yes;No;Credit card (automatic);One year;91.2;0;36.99459947842872;No;Fiber optic;No;No;No;Yes;Yes;Yes;No;95.36111111111106;1493.925833333333
0048-PIHNL;Female;0;Yes;No;No;Bank transfer (automatic);One year;20.45;0;49.01948705312224;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;21.331632653061234;2135.1506530612246
0052-DCKON;Male;0;Yes;No;No;Bank transfer (automatic);One year;115.8;0;66.0383170085628;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;120.24848484848496;6469.702545454544
0052-YNYOT;Female;0;No;No;No;Electronic check;One year;20.55;0;67.02396353107866;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;21.279850746268643;696.248253731343
0056-EPFBG;Male;0;Yes;Yes;Yes;Credit card (automatic);Two year;39.4;0;20.041479291155877;Yes;DSL;No phone service;No;Yes;No;No;No;Yes;40.65999999999999;611.7715000000001
0057-QBUQH;Female;0;No;Yes;Yes;Electronic check;Two year;25.1;0;43.00704326577548;No internet service;No;Yes;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;25.72790697674419;1885.182
0058-EVZWM;Female;0;Yes;No;Yes;Bank transfer (automatic);Month-to-month;89.8;0;55.031930840469;No;Fiber optic;Yes;No;Yes;Yes;No;Yes;No;93.84000000000006;2186.306636363636
0060-FUALY;Female;0;Yes;No;Yes;Electronic check;Month-to-month;94.75;0;58.97451693053245;No;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;No;99.99137931034483;2871.6988620689654
0064-SUDOG;Female;0;Yes;Yes;No;Bank transfer (automatic);Two year;20.3;0;11.992032690609664;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;21.236363636363638;4431.806363636363
0064-YIJGF;Male;0;Yes;Yes;Yes;Bank transfer (automatic);Month-to-month;75.75;0;27.00671471693464;No;Fiber optic;Yes;No;No;Yes;No;No;No;77.23518518518519;3493.3832962962965
0067-DKWBL;Male;1;No;No;Yes;Electronic check;Month-to-month;49.25;1;2.0041479291155877;No;DSL;No;No;Yes;Yes;No;No;No;50.8;860.7260000000001
0068-FIGTF;Female;0;No;No;No;Mailed check;One year;78.2;0;27.00671471693464;Yes;DSL;No;Yes;No;Yes;Yes;Yes;Yes;80.46666666666668;3577.780666666667
0071-NDAFP;Male;0;Yes;Yes;No;Credit card (automatic);Two year;25.5;0;25.002566787819053;No internet service;No;Yes;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;26.907999999999998;907.9898000000001
0074-HDKDG;Male;0;Yes;Yes;Yes;Bank transfer (automatic);One year;61.6;0;25.002566787819053;Yes;DSL;No;Yes;Yes;Yes;No;No;No;63.33999999999998;749.791
0076-LVEPS;Male;0;No;Yes;Yes;Mailed check;Month-to-month;45.0;0;29.010862646050228;Yes;DSL;No phone service;Yes;Yes;No;No;No;Yes;46.0551724137931;3783.318793103448
0078-XZMHT;Male;0;Yes;No;Yes;Bank transfer (automatic);Two year;85.15;0;71.98505102774185;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;Yes;88.28098591549288;1956.7772112676057
0080-EMYVY;Female;0;No;No;No;Credit card (automatic);One year;51.45;0;13.996180619725251;No;DSL;No;Yes;No;Yes;No;No;No;56.557692307692314;2054.6196153846154
0080-OROZO;Female;0;No;No;Yes;Electronic check;One year;99.25;0;34.95759666522927;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Yes;101.97941176470589;218.87123529411764
0082-LDZUE;Male;0;No;No;Yes;Mailed check;Month-to-month;44.3;0;1.0185014065997249;No;DSL;No;No;No;Yes;No;No;No;45.6;4481.611
0082-OQIQY;Male;0;No;No;Yes;Electronic check;Month-to-month;94.2;0;29.010862646050228;No;Fiber optic;No;No;No;Yes;Yes;Yes;Yes;95.81034482758622;768.3526896551725
0083-PIVIK;Male;0;No;No;No;Electronic check;One year;81.25;0;64.00131419536335;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Yes;84.61718749999997;780.6603437499998
0089-IIQKO;Female;0;Yes;Yes;Yes;Credit card (automatic);Month-to-month;99.95;0;38.9987474075443;No;Fiber optic;Yes;No;No;Yes;Yes;Yes;Yes;103.43684210526312;503.8746315789474
0093-EXYQL;Female;1;No;No;Yes;Electronic check;Month-to-month;91.55;0;39.984393930060165;No;Fiber optic;No;No;No;Yes;Yes;Yes;No;95.01410256410261;19.257589743589744
0093-XWZFY;Male;0;No;No;Yes;Credit card (automatic);Month-to-month;104.5;1;40.017248814144025;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;No;107.87750000000001;3603.7265000000007
0094-OIFMO;Female;1;No;No;Yes;Electronic check;Month-to-month;95.0;1;11.039241052177664;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;No;102.06363636363636;5888.815272727273
0096-BXERS;Female;0;Yes;No;No;Electronic check;Month-to-month;50.35;0;6.045298671430625;No;DSL;Yes;No;No;Yes;No;No;No;51.583333333333336;7480.984333333333
0096-FCPUF;Male;0;No;No;Yes;Mailed check;Month-to-month;64.5;0;30.029364052649953;No;DSL;Yes;No;Yes;Yes;Yes;No;No;66.02;190.34133333333332
0098-BOWSO;Male;0;No;No;Yes;Electronic check;Month-to-month;19.4;0;27.00671471693464;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.022222222222215;1177.1071111111114
0100-DUVFC;Male;1;Yes;No;Yes;Electronic check;One year;104.8;0;70.04661286679398;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;No;110.2142857142858;47.10842857142857
0103-CSITQ;Female;0;Yes;No;Yes;Bank transfer (automatic);One year;109.4;0;57.03607876958459;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Yes;114.27719298245609;2276.6284035087724
0104-PPXDV;Male;0;Yes;No;No;Credit card (automatic);One year;50.3;0;58.05458017618432;Yes;DSL;No;No;No;Yes;No;No;No;52.73793103448279;415.81668965517247
0106-GHRQR;Male;0;No;No;Yes;Bank transfer (automatic);Month-to-month;71.4;0;16.000328548840837;Yes;DSL;Yes;Yes;No;Yes;Yes;No;No;72.09375;939.744375
0106-UGRDO;Female;0;Yes;No;Yes;Electronic check;Two year;116.0;0;69.02811146019425;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;119.79855072463769;1407.0312173913046
0107-YHINA;Male;0;No;Yes;Yes;Electronic check;Month-to-month;99.75;1;1.0185014065997249;Yes;Fiber optic;Yes;No;No;Yes;Yes;Yes;No;99.75;3778.35
0111-KLBQG;Male;1;Yes;Yes;Yes;Mailed check;Month-to-month;93.95;0;32.03351198176554;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;No;96.65625;5288.7066875
0112-QAWRZ;Male;0;Yes;Yes;Yes;Bank transfer (automatic);Month-to-month;90.8;0;16.000328548840837;Yes;Fiber optic;Yes;No;No;Yes;No;Yes;No;94.77499999999998;1271.3318749999999
0112-QWPNC;Male;0;Yes;No;No;Electronic check;One year;84.35;1;48.98663216903838;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Yes;86.54166666666661;2630.7627500000003
0114-IGABW;Female;0;Yes;No;No;Bank transfer (automatic);Two year;58.25;0;70.96654962114212;Yes;DSL;No phone service;Yes;No;No;Yes;Yes;Yes;61.46285714285715;3839.445
0114-PEGZZ;Female;0;No;No;No;Electronic check;Month-to-month;107.55;0;33.0191585042814;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;No;111.2015151515152;445.67381818181804
0114-RSRRW;Female;0;Yes;No;Yes;Bank transfer (automatic);Month-to-month;19.95;0;10.0535945296618;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.859999999999996;1308.055
0115-TFERT;Male;0;Yes;No;Yes;Electronic check;Month-to-month;111.2;1;21.059980697755602;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Yes;117.04285714285713;658.9100952380951
0117-LFRMW;Male;0;Yes;Yes;No;Bank transfer (automatic);Month-to-month;40.2;1;36.99459947842872;Yes;DSL;No phone service;Yes;Yes;No;No;No;No;41.53611111111113;3412.3272222222226
0118-JPNOY;Female;1;No;No;Yes;Credit card (automatic);Month-to-month;85.8;0;25.988213310334913;No;Fiber optic;No;No;Yes;Yes;No;Yes;No;90.67599999999999;3745.5572
0121-SNYRK;Male;0;No;No;Yes;Mailed check;One year;35.4;0;50.005133575638105;No;DSL;No phone service;No;Yes;No;No;No;Yes;37.33000000000002;1881.5022
0122-OAHPZ;Female;0;No;No;Yes;Electronic check;Month-to-month;73.85;1;6.998090309862626;No;Fiber optic;Yes;No;No;Yes;No;No;No;74.26666666666667;3159.3383333333336
0123-CRBRT;Female;0;Yes;Yes;No;Mailed check;Two year;88.1;0;61.0115197437319;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;91.36229508196725;1765.2780327868852
0125-LZQXK;Male;0;No;No;Yes;Electronic check;Month-to-month;101.35;1;14.981827142241114;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Yes;103.19999999999997;1825.2961428571427
