MeanMonthlyUsage;MeanMonthlyUsage_t1;MeanMonthlyUsage_t2;MeanMonthlyUsage_t3;MeanMonthlyUsage_t4
1473.457333333333;1737;1656;2268;4421
1117.293111111111;1214;1377;1239;2334
331.30050000000006;333;331;430;352
1686.0581538461538;1829;1744;2237;2659
1272.5266666666666;1425;1349;1698;2750
1219.1885555555555;1505;1368;1785;3113
402.72857142857146;420;403;413;452
4241.353888888887;4619;4975;4601;8634
2648.498428571429;2671;2655;2721;3104
807.9222307692309;860;827;868;1468
962.5174444444444;974;1019;962;1820
4232.543464788731;4542;4639;5870;5390
3576.239;3655;4435;3977;7160
93.11221126760564;115;99;98;317
4706.991035714287;5354;4937;4949;5256
2481.8012857142858;2483;2833;2527;3499
5.412588235294117;5;5;6;18
1696.97;1739;1799;2120;3586
5219.388777777778;5252;6218;5884;12504
2862.446;2904;2888;4796;4951
418.99340000000007;425;420;560;472
1769.1453076923074;1955;1947;2277;4389
235.2990909090909;260;238;296;423
3046.377;3346;3106;3049;7562
4553.4835;4893;5188;6958;4922
2430.505545454545;2793;2766;2721;3114
5185.492814814813;5701;5200;6292;16019
2530.994;2975;2620;2532;2587
2109.136739130436;2166;2255;2247;2110
1493.9258333333332;1513;1656;1843;3445
2135.1506530612246;2237;2276;2505;3962
6469.702545454544;7503;7913;9594;27611
696.248253731343;772;720;774;1033
611.7715000000002;694;633;767;696
1885.182;1888;1890;1948;2563
2186.306636363636;2310;2256;2482;4924
2871.698862068965;2991;2885;4301;6369
4431.806363636363;4782;6070;5226;9611
3493.3832962962965;3629;3967;3967;5626
860.7260000000001;885;1059;946;2619
3577.780666666667;4357;3615;4012;4316
907.9898;955;1007;1344;933
749.791;796;778;803;1606
3783.3187931034477;4429;4090;3972;8884
1956.7772112676055;2009;2166;2341;2085
2054.6196153846154;2382;2060;3294;2327
218.8712352941176;254;219;218;559
4481.611;4709;5202;4586;18694
768.3526896551724;863;877;1035;901
780.6603437499997;807;895;950;862
503.87463157894734;569;521;573;2383
19.257589743589747;21;19;21;36
3603.726500000001;4145;4631;4731;5519
5888.815272727273;6975;6248;6428;7198
7480.984333333333;8662;8025;8966;14392
190.3413333333333;205;231;231;522
1177.1071111111114;1259;1248;1313;4293
47.10842857142857;50;60;62;123
2276.6284035087724;2540;2317;2978;5859
415.8166896551725;420;452;449;752
939.744375;1143;1016;995;1493
1407.0312173913046;1485;1628;1584;1416
3778.35;3961;3989;4588;7791
5288.7066875;6377;6087;5514;9159
1271.331875;1376;1385;1860;1573
2630.762750000001;2703;2710;2762;4385
3839.445;3974;4040;6207;9253
445.6738181818181;446;474;474;732
1308.055;1505;1762;1501;2895
658.9100952380951;673;713;1165;1127
3412.327222222222;3686;3829;4263;5810
3745.5572;4189;3864;4626;5334
1881.5022;1948;1992;2027;3085
3159.3383333333336;3429;3306;3563;7538
1765.2780327868854;2139;1882;2281;3722
1825.2961428571427;1854;2523;2655;4438
2562.7338;2571;2615;3191;5179
1662.076985915493;1769;1984;2239;4308
1436.2022727272727;1449;1544;2016;1630
4218.706393939395;4786;5058;7207;7137
6948.954000000001;7373;7656;9139;17019
1488.8435909090908;1585;1762;1681;3690
3360.1899999999987;3753;3835;3463;10333
3568.603304347824;4488;3989;4270;9530
1056.6483333333333;1064;1129;1066;2716
1617.765;1766;1867;2662;1735
5601.342703703704;5627;5848;5853;14671
5090.201200000001;5418;6353;7271;6310
4137.993684210526;4169;4427;4341;10904
3785.807400000001;4427;4719;5793;4904
2983.163;3238;3164;3638;6245
4115.431181818181;4899;4285;6514;9369
854.4733661971829;949;867;1133;1473
684.1671739130436;803;847;1111;1370
493.17852631578944;507;519;551;523
1545.0862857142856;1563;2065;1716;1899
10234.15033333333;11415;10238;10249;10539
1664.18;1745;2062;1851;3510
2020.6530869565215;2154;2104;2073;2028
1597.6806885245906;1599;1657;1793;2439
1466.6371428571426;1531;1476;1573;4588
6549.735142857144;6951;6640;7933;10140
707.7108518518518;712;809;1166;989
1766.0860000000002;1823;2179;1924;2778
2941.9856;2979;3176;3702;3517
951.8473333333333;984;1088;1117;1025
7610.498310344828;9319;7822;8042;7819
2768.8920000000007;3003;3450;3747;7657
3431.489777777777;3471;3544;4308;8142
7090.3166666666675;7315;8543;9759;20922
313.0742463768117;318;359;326;327
2290.8427878787875;2351;2320;2362;3536
3330.5617142857154;3419;3439;5328;7682
0.0;0;0;0;0
945.8434782608693;997;1237;987;3337
2475.679296296296;2492;2828;3030;3455
482.30933333333337;580;512;533;1907
30.303636363636368;31;36;30;41
1388.6636363636362;1499;1606;1395;1902
487.6368571428572;491;497;598;718
4074.1886666666664;4450;4314;4165;7304
803.2322857142857;841;847;805;2477
2697.4109999999996;3063;3141;2997;9032
3023.184000000001;3714;3083;3325;3759
1054.6660000000004;1066;1134;1280;1372
239.15400000000002;246;242;321;400
6975.567500000001;7528;7790;9464;12623
3349.6206538461547;3473;3624;3631;11571
1431.9935000000007;1434;1585;1976;2159
442.13775;548;454;527;546
4278.366999999998;4488;5148;5765;6277
4372.182;5500;5448;7447;13175
1732.3675263157902;1973;1833;1897;1752
1191.7534225352113;1436;1264;1200;1962
3058.822333333335;3074;3099;4163;4881
1847.6950303030308;1892;2137;1938;7209
6123.428000000001;6642;6359;7368;14426
840.2637796610169;1011;875;919;2431
682.0891666666666;719;835;1099;1038
1714.6350000000002;2038;1946;2676;2722
5592.045000000001;6054;5996;8346;9581
117.35639999999997;126;141;184;208
608.9961126760562;695;627;652;789
1582.1142173913047;1790;1753;1902;4069
1376.8647605633796;1412;1452;1661;1376
1560.7420000000006;1968;1620;1680;4494
9131.627;9885;9476;11003;9615
34.30637313432836;36;35;40;98
2874.4520416666664;2906;3110;2950;4817
3093.914464788733;3237;3288;3637;5769
907.6253846153846;988;1040;1013;1386
2182.8633283582094;2383;2378;3337;2227
1371.5485925925925;1388;1663;1535;4860
561.575;625;639;599;561
2585.351307692308;2690;2599;3081;5724
1060.6603333333333;1062;1076;1212;1888
2375.542;2471;3211;2411;3254
4344.298333333333;4359;4795;4447;5443
3857.5684;4125;4275;3995;11673
669.5239999999999;689;674;1094;1310
3369.792;3486;3463;3641;15418
164.72475;172;170;192;282
1277.6937611940302;1347;1478;1377;1364
1363.3553098591549;1376;1433;1379;1920
2840.7259999999997;2967;3122;3553;3289
4285.788454545454;5105;5573;5824;10964
2372.961605633803;2784;2631;3280;3845
94.33871428571429;106;113;116;134
1083.367;1209;1118;1217;2662
446.64060606060593;460;447;636;966
4371.494000000001;4947;4731;5332;6098
4964.935041666668;5508;5096;6039;11567
350.0205873015873;362;379;357;624
555.6026363636364;559;739;815;804
274.4634814814815;281;280;345;1262
1924.291470588235;2253;1946;3085;3238
462.95925925925917;478;490;517;1278
2432.098;2744;3093;2458;3438
417.605;441;451;437;748
163.9301578947368;164;179;166;290
1173.891653846154;1182;1375;1356;2692
244.6444788732395;264;301;313;485
1513.0545624999993;1534;1560;1665;4734
309.41900000000004;322;334;381;504
2613.684073170732;2623;3026;3777;4566
